x,y,layer1,layer2,voltage1,voltage2,current
663.625,773.383,LAYER_2,BOTTOM_LAYER,0.179795,0.179797,-0.00881398
663.625,812.753,TOP_LAYER,LAYER_1,0.179764,0.179771,-0.0256153
663.625,812.753,LAYER_1,LAYER_2,0.179771,0.179809,-0.0256153
663.625,812.753,LAYER_2,BOTTOM_LAYER,0.179809,0.179813,-0.0147927
697.328,464.089,TOP_LAYER,LAYER_1,0.179451,0.179476,-0.194285
697.328,464.089,LAYER_1,LAYER_2,0.179476,0.179616,-0.194285
697.328,464.089,LAYER_2,BOTTOM_LAYER,0.179616,0.179632,-0.121295
697.328,523.144,TOP_LAYER,LAYER_1,0.179517,0.179534,-0.135967
697.328,523.144,LAYER_1,LAYER_2,0.179534,0.179632,-0.135967
697.328,523.144,LAYER_2,BOTTOM_LAYER,0.179632,0.179644,-0.0907576
693.152,793.068,TOP_LAYER,LAYER_1,0.17974,0.179749,-0.0355461
693.152,793.068,LAYER_1,LAYER_2,0.179749,0.179802,-0.0355461
693.152,793.068,LAYER_2,BOTTOM_LAYER,0.179802,0.179807,-0.0191187
704.387,604.668,TOP_LAYER,LAYER_1,47.9783,47.9783,0.0628636
704.387,604.668,LAYER_1,LAYER_2,47.9783,47.9782,0.0628636
704.387,604.668,LAYER_2,BOTTOM_LAYER,47.9782,47.9782,-7.12988e-11
717.013,1408.97,TOP_LAYER,LAYER_1,0.180142,0.18014,0.0213109
717.013,1408.97,LAYER_1,LAYER_2,0.18014,0.180124,0.0213109
717.013,1408.97,LAYER_2,BOTTOM_LAYER,0.180124,0.180122,0.0142171
722.68,773.383,TOP_LAYER,LAYER_1,0.179765,0.179768,-0.0132426
722.68,773.383,LAYER_1,LAYER_2,0.179768,0.179788,-0.0132426
722.68,773.383,LAYER_2,BOTTOM_LAYER,0.179788,0.17979,-0.00657515
722.68,812.753,TOP_LAYER,LAYER_1,0.179765,0.179771,-0.0199152
722.68,812.753,LAYER_1,LAYER_2,0.179771,0.179801,-0.0199152
722.68,812.753,LAYER_2,BOTTOM_LAYER,0.179801,0.179804,-0.0146084
736.698,562.514,TOP_LAYER,LAYER_1,0.179566,0.179579,-0.0989639
736.698,562.514,LAYER_1,LAYER_2,0.179579,0.17965,-0.0989639
736.698,562.514,LAYER_2,BOTTOM_LAYER,0.17965,0.179662,-0.0888588
733.914,899.944,TOP_LAYER,LAYER_1,47.9732,47.9732,-0.0628636
733.914,899.944,LAYER_1,LAYER_2,47.9732,47.9733,-0.0628636
733.914,899.944,LAYER_2,BOTTOM_LAYER,47.9733,47.9733,-1.06948e-10
765.157,287.678,TOP_LAYER,LAYER_1,0,0,-0
765.157,287.678,LAYER_1,LAYER_2,0,0,-0
765.157,287.678,LAYER_2,BOTTOM_LAYER,0,0,-0
765.157,2391.93,TOP_LAYER,LAYER_1,36.1765,36.1765,1.28919e-10
765.157,2391.93,LAYER_1,LAYER_2,36.1765,36.1765,1.17093e-10
765.157,2391.93,LAYER_2,BOTTOM_LAYER,36.1765,36.1765,1.28919e-10
776.068,464.089,TOP_LAYER,LAYER_1,0.179485,0.179507,-0.168692
776.068,464.089,LAYER_1,LAYER_2,0.179507,0.179628,-0.168692
776.068,464.089,LAYER_2,BOTTOM_LAYER,0.179628,0.179642,-0.104872
776.068,523.144,TOP_LAYER,LAYER_1,0.179555,0.179568,-0.0996645
776.068,523.144,LAYER_1,LAYER_2,0.179568,0.17964,-0.0996645
776.068,523.144,LAYER_2,BOTTOM_LAYER,0.17964,0.17965,-0.0760056
795.753,739.68,TOP_LAYER,LAYER_1,0.179773,0.179775,-0.0165663
795.753,739.68,LAYER_1,LAYER_2,0.179775,0.179787,-0.0165663
795.753,739.68,LAYER_2,BOTTOM_LAYER,0.179787,0.179789,-0.0145968
795.753,779.05,TOP_LAYER,LAYER_1,0.179786,0.179789,-0.0212782
795.753,779.05,LAYER_1,LAYER_2,0.179789,0.179805,-0.0212782
795.753,779.05,LAYER_2,BOTTOM_LAYER,0.179805,0.179805,-0.00559377
795.753,818.42,TOP_LAYER,LAYER_1,0.179792,0.179794,-0.0143653
795.753,818.42,LAYER_1,LAYER_2,0.179794,0.179805,-0.0143653
795.753,818.42,LAYER_2,BOTTOM_LAYER,0.179805,0.179813,-0.0655467
795.753,1271.18,TOP_LAYER,LAYER_1,0.180151,0.180147,0.0309787
795.753,1271.18,LAYER_1,LAYER_2,0.180147,0.180124,0.0309787
795.753,1271.18,LAYER_2,BOTTOM_LAYER,0.180124,0.180121,0.0259808
795.753,1310.55,TOP_LAYER,LAYER_1,0.180158,0.180155,0.0253372
795.753,1310.55,LAYER_1,LAYER_2,0.180155,0.180137,0.0253372
795.753,1310.55,LAYER_2,BOTTOM_LAYER,0.180137,0.180134,0.0167514
795.753,1448.34,TOP_LAYER,LAYER_1,0.180165,0.180163,0.0163114
795.753,1448.34,LAYER_1,LAYER_2,0.180163,0.180151,0.0163114
795.753,1448.34,LAYER_2,BOTTOM_LAYER,0.180151,0.18015,0.0102675
812.654,958.999,TOP_LAYER,LAYER_1,12.1792,12.1792,0.000164009
812.654,958.999,LAYER_1,LAYER_2,12.1792,12.1792,0.000164009
812.654,958.999,LAYER_2,BOTTOM_LAYER,12.1792,12.1792,-2.6737e-11
835.123,464.089,TOP_LAYER,LAYER_1,0.179588,0.179598,-0.0817468
835.123,464.089,LAYER_1,LAYER_2,0.179598,0.179657,-0.0817468
835.123,464.089,LAYER_2,BOTTOM_LAYER,0.179657,0.179665,-0.05818
835.123,523.144,TOP_LAYER,LAYER_1,0.179615,0.179623,-0.0574672
835.123,523.144,LAYER_1,LAYER_2,0.179623,0.179664,-0.0574672
835.123,523.144,LAYER_2,BOTTOM_LAYER,0.179664,0.179671,-0.0521494
835.123,660.94,TOP_LAYER,LAYER_1,0.179725,0.17973,-0.0395141
835.123,660.94,LAYER_1,LAYER_2,0.17973,0.179758,-0.0395141
835.123,660.94,LAYER_2,BOTTOM_LAYER,0.179758,0.17976,-0.0108119
835.123,700.31,TOP_LAYER,LAYER_1,0.179752,0.179755,-0.0241496
835.123,700.31,LAYER_1,LAYER_2,0.179755,0.179772,-0.0241496
835.123,700.31,LAYER_2,BOTTOM_LAYER,0.179772,0.179775,-0.0182909
835.123,739.68,TOP_LAYER,LAYER_1,0.179773,0.179775,-0.0165663
835.123,739.68,LAYER_1,LAYER_2,0.179775,0.179787,-0.0165663
835.123,739.68,LAYER_2,BOTTOM_LAYER,0.179787,0.179789,-0.0145968
835.123,779.05,TOP_LAYER,LAYER_1,0.179786,0.179789,-0.0212782
835.123,779.05,LAYER_1,LAYER_2,0.179789,0.179805,-0.0212782
835.123,779.05,LAYER_2,BOTTOM_LAYER,0.179805,0.179805,-0.00559377
835.123,818.42,TOP_LAYER,LAYER_1,0.179792,0.179795,-0.0206121
835.123,818.42,LAYER_1,LAYER_2,0.179795,0.17981,-0.0206121
835.123,818.42,LAYER_2,BOTTOM_LAYER,0.17981,0.179813,-0.0249109
835.123,1271.18,TOP_LAYER,LAYER_1,0.180151,0.180147,0.0309787
835.123,1271.18,LAYER_1,LAYER_2,0.180147,0.180124,0.0309787
