x;y;layer1;layer2;voltage1;voltage2;current
657.958;1408.97;LAYER_1;LAYER_2;0.179141;0.179136;0.00643262
657.958;1408.97;LAYER_2;BOTTOM_LAYER;0.179136;0.179135;0.00667923
663.625;773.383;TOP_LAYER;LAYER_1;0.178802;0.178806;-0.0151138
663.625;773.383;LAYER_1;LAYER_2;0.178806;0.178829;-0.0151138
663.625;773.383;LAYER_2;BOTTOM_LAYER;0.178829;0.178831;-0.00886475
663.625;812.753;TOP_LAYER;LAYER_1;0.178797;0.178804;-0.0256505
663.625;812.753;LAYER_1;LAYER_2;0.178804;0.178842;-0.0256505
663.625;812.753;LAYER_2;BOTTOM_LAYER;0.178842;0.178846;-0.014834
697.328;464.089;TOP_LAYER;LAYER_1;0.178487;0.178512;-0.193247
697.328;464.089;LAYER_1;LAYER_2;0.178512;0.178651;-0.193247
697.328;464.089;LAYER_2;BOTTOM_LAYER;0.178651;0.178667;-0.120647
697.328;523.144;TOP_LAYER;LAYER_1;0.178552;0.17857;-0.135236
697.328;523.144;LAYER_1;LAYER_2;0.17857;0.178667;-0.135236
697.328;523.144;LAYER_2;BOTTOM_LAYER;0.178667;0.178679;-0.0902714
693.152;793.068;TOP_LAYER;LAYER_1;0.178774;0.178783;-0.0355981
693.152;793.068;LAYER_1;LAYER_2;0.178783;0.178836;-0.0355981
693.152;793.068;LAYER_2;BOTTOM_LAYER;0.178836;0.178841;-0.0191644
704.387;604.668;TOP_LAYER;LAYER_1;47.9784;47.9784;0.0626029
704.387;604.668;LAYER_1;LAYER_2;47.9784;47.9783;0.0626029
704.387;604.668;LAYER_2;BOTTOM_LAYER;47.9783;47.9783;-1.06948e-10
717.013;1408.97;TOP_LAYER;LAYER_1;0.179175;0.179173;0.0213755
717.013;1408.97;LAYER_1;LAYER_2;0.179173;0.179157;0.0213755
717.013;1408.97;LAYER_2;BOTTOM_LAYER;0.179157;0.179155;0.0141671
722.68;773.383;TOP_LAYER;LAYER_1;0.178799;0.178802;-0.0132728
722.68;773.383;LAYER_1;LAYER_2;0.178802;0.178822;-0.0132728
722.68;773.383;LAYER_2;BOTTOM_LAYER;0.178822;0.178824;-0.00661178
722.68;812.753;TOP_LAYER;LAYER_1;0.178799;0.178805;-0.0199078
722.68;812.753;LAYER_1;LAYER_2;0.178805;0.178834;-0.0199078
722.68;812.753;LAYER_2;BOTTOM_LAYER;0.178834;0.178838;-0.0146099
736.698;562.514;TOP_LAYER;LAYER_1;0.178602;0.178615;-0.0984347
736.698;562.514;LAYER_1;LAYER_2;0.178615;0.178685;-0.0984347
736.698;562.514;LAYER_2;BOTTOM_LAYER;0.178685;0.178697;-0.088366
733.914;899.944;TOP_LAYER;LAYER_1;47.9733;47.9733;-0.0626029
733.914;899.944;LAYER_1;LAYER_2;47.9733;47.9734;-0.0626029
733.914;899.944;LAYER_2;BOTTOM_LAYER;47.9734;47.9734;-3.56494e-11
765.157;287.678;TOP_LAYER;LAYER_1;0;0;-0
765.157;287.678;LAYER_1;LAYER_2;0;0;-0
765.157;287.678;LAYER_2;BOTTOM_LAYER;0;0;-0
765.157;2391.93;TOP_LAYER;LAYER_1;36.1755;36.1755;-0
765.157;2391.93;LAYER_1;LAYER_2;36.1755;36.1755;7.02556e-11
765.157;2391.93;LAYER_2;BOTTOM_LAYER;36.1755;36.1755;1.28919e-10
776.068;464.089;TOP_LAYER;LAYER_1;0.17852;0.178542;-0.167797
776.068;464.089;LAYER_1;LAYER_2;0.178542;0.178663;-0.167797
776.068;464.089;LAYER_2;BOTTOM_LAYER;0.178663;0.178677;-0.104314
776.068;523.144;TOP_LAYER;LAYER_1;0.178591;0.178603;-0.0991368
776.068;523.144;LAYER_1;LAYER_2;0.178603;0.178675;-0.0991368
776.068;523.144;LAYER_2;BOTTOM_LAYER;0.178675;0.178685;-0.075594
795.753;739.68;TOP_LAYER;LAYER_1;0.178807;0.178809;-0.0164913
795.753;739.68;LAYER_1;LAYER_2;0.178809;0.178821;-0.0164913
795.753;739.68;LAYER_2;BOTTOM_LAYER;0.178821;0.178823;-0.0145363
795.753;779.05;TOP_LAYER;LAYER_1;0.17882;0.178823;-0.0211733
795.753;779.05;LAYER_1;LAYER_2;0.178823;0.178838;-0.0211733
795.753;779.05;LAYER_2;BOTTOM_LAYER;0.178838;0.178839;-0.00558897
795.753;818.42;TOP_LAYER;LAYER_1;0.178826;0.178828;-0.0142998
795.753;818.42;LAYER_1;LAYER_2;0.178828;0.178838;-0.0142998
795.753;818.42;LAYER_2;BOTTOM_LAYER;0.178838;0.178847;-0.0651591
795.753;1271.18;TOP_LAYER;LAYER_1;0.179184;0.17918;0.0313611
795.753;1271.18;LAYER_1;LAYER_2;0.17918;0.179158;0.0313611
795.753;1271.18;LAYER_2;BOTTOM_LAYER;0.179158;0.179154;0.0258951
795.753;1310.55;TOP_LAYER;LAYER_1;0.179192;0.179188;0.0255233
795.753;1310.55;LAYER_1;LAYER_2;0.179188;0.17917;0.0255233
795.753;1310.55;LAYER_2;BOTTOM_LAYER;0.17917;0.179168;0.0167735
795.753;1448.34;TOP_LAYER;LAYER_1;0.179198;0.179196;0.0163088
795.753;1448.34;LAYER_1;LAYER_2;0.179196;0.179184;0.0163088
795.753;1448.34;LAYER_2;BOTTOM_LAYER;0.179184;0.179183;0.0102112
812.654;958.999;TOP_LAYER;LAYER_1;12.1782;12.1782;0.000164009
812.654;958.999;LAYER_1;LAYER_2;12.1782;12.1782;0.000164009
812.654;958.999;LAYER_2;BOTTOM_LAYER;12.1782;12.1782;-3.56494e-11
835.123;464.089;TOP_LAYER;LAYER_1;0.178623;0.178634;-0.0813231
835.123;464.089;LAYER_1;LAYER_2;0.178634;0.178692;-0.0813231
835.123;464.089;LAYER_2;BOTTOM_LAYER;0.178692;0.1787;-0.057873
835.123;523.144;TOP_LAYER;LAYER_1;0.17865;0.178658;-0.0571715
835.123;523.144;LAYER_1;LAYER_2;0.178658;0.178699;-0.0571715
835.123;523.144;LAYER_2;BOTTOM_LAYER;0.178699;0.178706;-0.0518633
835.123;660.94;TOP_LAYER;LAYER_1;0.178759;0.178764;-0.0392858
835.123;660.94;LAYER_1;LAYER_2;0.178764;0.178792;-0.0392858
835.123;660.94;LAYER_2;BOTTOM_LAYER;0.178792;0.178794;-0.0108004
835.123;700.31;TOP_LAYER;LAYER_1;0.178786;0.178789;-0.0240229
835.123;700.31;LAYER_1;LAYER_2;0.178789;0.178806;-0.0240229
835.123;700.31;LAYER_2;BOTTOM_LAYER;0.178806;0.178809;-0.0182177
835.123;739.68;TOP_LAYER;LAYER_1;0.178807;0.178809;-0.0164913
835.123;739.68;LAYER_1;LAYER_2;0.178809;0.178821;-0.0164913
835.123;739.68;LAYER_2;BOTTOM_LAYER;0.178821;0.178823;-0.0145363
835.123;779.05;TOP_LAYER;LAYER_1;0.17882;0.178823;-0.0211733
835.123;779.05;LAYER_1;LAYER_2;0.178823;0.178838;-0.0211733
835.123;779.05;LAYER_2;BOTTOM_LAYER;0.178838;0.178839;-0.00558897
835.123;818.42;TOP_LAYER;LAYER_1;0.178826;0.178829;-0.0205071
835.123;818.42;LAYER_1;LAYER_2;0.178829;0.178844;-0.0205071
835.123;818.42;LAYER_2;BOTTOM_LAYER;0.178844;0.178847;-0.0247803
835.123;1271.18;TOP_LAYER;LAYER_1;0.179184;0.17918;0.0313611
835.123;1271.18;LAYER_1;LAYER_2;0.17918;0.179158;0.0313611
835.123;1271.18;LAYER_2;BOTTOM_LAYER;0.179158;0.179154;0.0258951
835.123;1310.55;TOP_LAYER;LAYER_1;0.179192;0.179188;0.0255233
835.123;1310.55;LAYER_1;LAYER_2;0.179188;0.17917;0.0255233
835.123;1310.55;LAYER_2;BOTTOM_LAYER;0.17917;0.179168;0.0167735
835.123;1448.34;TOP_LAYER;LAYER_1;0.179204;0.179201;0.0238999
835.123;1448.34;LAYER_1;LAYER_2;0.179201;0.179184;0.0238999
835.123;1448.34;LAYER_2;BOTTOM_LAYER;0.179184;0.179183;0.0102112
835.123;1487.71;TOP_LAYER;LAYER_1;0.179196;0.179194;0.0140115
835.123;1487.71;LAYER_1;LAYER_2;0.179194;0.179184;0.0140115
835.123;1487.71;LAYER_2;BOTTOM_LAYER;0.179184;0.179183;0.00940763
874.493;1271.18;TOP_LAYER;LAYER_1;0.179206;0.1792;0.0468951
874.493;1271.18;LAYER_1;LAYER_2;0.1792;0.179166;0.0468951
874.493;1271.18;LAYER_2;BOTTOM_LAYER;0.179166;0.179161;0.0337819
874.493;1310.55;TOP_LAYER;LAYER_1;0.179213;0.179208;0.0411268
874.493;1310.55;LAYER_1;LAYER_2;0.179208;0.179178;0.0411268
874.493;1310.55;LAYER_2;BOTTOM_LAYER;0.179178;0.179177;0.0142452
915.157;287.678;TOP_LAYER;LAYER_1;47.9985;47.9985;-0
915.157;287.678;LAYER_1;LAYER_2;47.9985;47.9985;1.6393e-10
915.157;287.678;LAYER_2;BOTTOM_LAYER;47.9985;47.9985;1.28919e-10
915.157;2391.93;TOP_LAYER;LAYER_1;0.18115;0.18115;5.0359e-13
915.157;2391.93;LAYER_1;LAYER_2;0.18115;0.18115;2.74436e-13
915.157;2391.93;LAYER_2;BOTTOM_LAYER;0.18115;0.18115;5.0359e-13
913.863;1842.04;TOP_LAYER;LAYER_1;0.179184;0.179184;-0.00104869
913.863;1842.04;LAYER_1;LAYER_2;0.179184;0.179185;-0.00104869
913.863;1842.04;LAYER_2;BOTTOM_LAYER;0.179185;0.179185;-6.41508e-06
913.863;1881.41;TOP_LAYER;LAYER_1;0.179184;0.179184;-0.000584886
913.863;1881.41;LAYER_1;LAYER_2;0.179184;0.179184;-0.000584886
913.863;1881.41;LAYER_2;BOTTOM_LAYER;0.179184;0.179184;-0.000177029
913.863;1920.78;TOP_LAYER;LAYER_1;0.179184;0.179184;-0.000376163
913.863;1920.78;LAYER_1;LAYER_2;0.179184;0.179184;-0.000376163
913.863;1920.78;LAYER_2;BOTTOM_LAYER;0.179184;0.179184;-9.51337e-07
953.234;523.144;TOP_LAYER;LAYER_1;0.17874;0.178744;-0.0345983
953.234;523.144;LAYER_1;LAYER_2;0.178744;0.178769;-0.0345983
953.234;523.144;LAYER_2;BOTTOM_LAYER;0.178769;0.178773;-0.0266947
953.234;582.2;TOP_LAYER;LAYER_1;0.178764;0.178768;-0.031471
953.234;582.2;LAYER_1;LAYER_2;0.178768;0.178791;-0.031471
953.234;582.2;LAYER_2;BOTTOM_LAYER;0.178791;0.178794;-0.0190414
953.234;641.255;TOP_LAYER;LAYER_1;0.178776;0.178781;-0.0355234
953.234;641.255;LAYER_1;LAYER_2;0.178781;0.178807;-0.0355234
953.234;641.255;LAYER_2;BOTTOM_LAYER;0.178807;0.178809;-0.0153189
953.234;1842.04;TOP_LAYER;LAYER_1;0.179185;0.179185;-0.00107533
953.234;1842.04;LAYER_1;LAYER_2;0.179185;0.179186;-0.00107533
953.234;1842.04;LAYER_2;BOTTOM_LAYER;0.179186;0.179186;-0.000234075
953.234;1881.41;TOP_LAYER;LAYER_1;0.179185;0.179185;-0.000465902
953.234;1881.41;LAYER_1;LAYER_2;0.179185;0.179185;-0.000465902
953.234;1881.41;LAYER_2;BOTTOM_LAYER;0.179185;0.179185;-0.000288318
953.234;1920.78;TOP_LAYER;LAYER_1;0.179185;0.179185;-0.000272307
953.234;1920.78;LAYER_1;LAYER_2;0.179185;0.179185;-0.000272307
953.234;1920.78;LAYER_2;BOTTOM_LAYER;0.179185;0.179185;-0.000117506
972.919;1330.23;TOP_LAYER;LAYER_1;0.179333;0.179323;0.0725143
972.919;1330.23;LAYER_1;LAYER_2;0.179323;0.179271;0.0725143
972.919;1330.23;LAYER_2;BOTTOM_LAYER;0.179271;0.179262;0.0723865
992.604;1369.6;TOP_LAYER;LAYER_1;0.179333;0.179323;0.0725143
992.604;1369.6;LAYER_1;LAYER_2;0.179323;0.179271;0.0725143
992.604;1369.6;LAYER_2;BOTTOM_LAYER;0.179271;0.179262;0.0723865
992.604;1408.97;TOP_LAYER;LAYER_1;0.179389;0.179372;0.127816
992.604;1408.97;LAYER_1;LAYER_2;0.179372;0.17928;0.127816
992.604;1408.97;LAYER_2;BOTTOM_LAYER;0.17928;0.179266;0.103766
992.604;1842.04;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.00125323
992.604;1842.04;LAYER_1;LAYER_2;0.179186;0.179187;-0.00125323
992.604;1842.04;LAYER_2;BOTTOM_LAYER;0.179187;0.179187;-0.000315293
992.604;1881.41;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.000500098
992.604;1881.41;LAYER_1;LAYER_2;0.179186;0.179186;-0.000500098
992.604;1881.41;LAYER_2;BOTTOM_LAYER;0.179186;0.179186;-0.000323328
992.604;1920.78;TOP_LAYER;LAYER_1;0.179185;0.179185;-0.000251646
992.604;1920.78;LAYER_1;LAYER_2;0.179185;0.179186;-0.000251646
992.604;1920.78;LAYER_2;BOTTOM_LAYER;0.179186;0.179186;-0.000145094
1031.97;1842.04;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.00149852
1031.97;1842.04;LAYER_1;LAYER_2;0.179186;0.179188;-0.00149852
1031.97;1842.04;LAYER_2;BOTTOM_LAYER;0.179188;0.179188;-0.000412131
1031.97;1881.41;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.000620579
1031.97;1881.41;LAYER_1;LAYER_2;0.179186;0.179186;-0.000620579
